date.opened,can.id,can.size,sample.wt.g,salmon.species,code.1,code.2,code.3,anis.no,box no.,"phototaken(1= yes, 0= no)",comments,cannery.location,year,comments2,company,lat,long,factory.code
3/10/2021,5.14,14.75,,pink,083BP 728B,14-V3-031003-1512,,2,14,1,"I found a small tip-segment of a large worm... but not the rest of the worm. I wasn't sure if it had broken off a worm I'd already taken out, or if I just couldn't find the body, so I put it in the tube but I didn't count it. ",Alitak,2003,,1,56.898802,154.247155,C1
3/3/2021,13.2,14.75,,pink,08710 P2(?) 7,095(?) 81 1,,0,2,1,,Alitak,1987,,1,56.898802,154.247155,C1
3/3/2021,12.2,14.75,,pink,08725 P2(?) 4,11 2? 4Y35,,0,2,1,,Alitak,1987,,1,56.898802,154.247155,C1
3/5/2021,14.2,14.75,,pink,08725 P2(?) 4,11 27 4Y18,,0,2,1,"baby bulge, fizzed when opened",Alitak,1987,,1,56.898802,154.247155,C1
3/5/2021,17.2,14.75,,pink,08725 P2(?) 4,11 27 4Y48,,2,2,1,,Alitak,1987,,1,56.898802,154.247155,C1
3/9/2021,22.2,14.75,,pink,08725 P2(?) 5,"1 19 (??)40 SO BLURRY AND OLD, NOT SURE",,0,2,1,,Alitak,1987,,1,56.898802,154.247155,C1
3/2/2021,11.2,14.75,,pink,08725 P2(3?) 4,11 7 4Y49 (really not confident about this code),,1,2,1,"this can is actually leaking with really nasty rotting stuff. I don't remember box 2 smelling so bad when I opened it for chum, but the jostling must have popped this can because opening it today it was foul and the papers were damp. Turns out it's this can. Gross. White moldy gunk coming out of the bottom before opening. (oddly enough, there wasn't signs of rot inside.)",Alitak,1987,,1,56.898802,154.247155,C1
7/15/2022,19.16,14.75,,red,5781R/10619,04 606 06 7 2146 820,,6,16,1,,Bellingham,2008,,2,55.342353,131.646121,
7/10/2021,21.14,14.75,,red,6531R 10708,14-V3-011602-0642,,4,14,0,,Chignik,2003,,3,56.295386,158.402233,C2
6/22/2021,7.13,14.75,,red,6591R 618 H,14-3-043098-1347 ,,2,13,0,,Chignik,1999,,3,56.295386,158.402233,C2
7/15/2022,18.16,14.75,,coho,6581M/728A,14-3-072997-1833,,1,16,1,,Chignik,2009,,3,56.295386,158.402233,C2
6/26/2021,14.13,14.75,,pink,-,14-3-031397-1604,307P 48251,2,13,0,"found two little blobs that could be similar to those blobby parasites I found a while ago, so I saved those too. These ones were brown not white. ",Cordova,1997,,4,60.550287,145.753739,C3
3/2/2021,9.2,14.75,,pink,308P 38187,087/9/8D21-1845,,7,2,1,,Cordova,1988,,4,60.550287,145.753739,C3
3/5/2021,18.2,14.75,,pink,308P 38187,087/9/8D21-1845,,0,2,1,,Cordova,1988,,4,60.550287,145.753739,C3
3/9/2021,19.2,14.75,,pink,308P 38187,087/9/8D21-1830,,0,2,1,"got a new phone yesterday, any pics taken from today on were taken with a way better camera. might affect color assessments.",Cordova,1988,,4,60.550287,145.753739,C3
3/9/2021,20.2,14.75,,pink,308P 38187,087/9/8D21-1830,,0,2,1,,Cordova,1988,,4,60.550287,145.753739,C3
1/27/2021,1.13,14.75,,chum,USA ALASKA SALMON,14-3-012798-1718,308 C 48295,2,13,1,as of 1/27/2021 awaiting confirmation check by Natalie. UPDATE: Froze without checking.,Cordova,1998,,4,60.550287,145.753739,C3
2/24/2021,8.11,14.75,,pink,,14-3-032897-0819,307 P 48232,1,11,1,"I organized the codes based on code 1 = lid, code 2 = side, code 3 = bottom.",Cordova,1997,,4,60.550287,145.753739,C3
2/24/2021,3.12,3.75,,pink,,14-2-062295-1822,305 P 38271,0,12,1,"yes, this can is smaller than most",Cordova,1995,,4,60.550287,145.753739,C3
2/24/2021,6.12,7.5,,pink,,14-2-101894-0145,305P 28155,0,12,1,"bulge, fizzed, green stuff",Cordova,1995,,4,60.550287,145.753739,C3
4/26/2022,6.16,14.75,,chum,308C / 47243,14-3-111497-0412,,0,16,1,,Cordova,2008,,4,60.550287,145.753739,C3
7/19/2022,27.16,7.5,,coho,308M/28076,7194-07-88-84L,,0,16,1,,Cordova,2008,,4,60.550287,145.753739,C3
3/12/2021,14.14,14.75,,pink,413BP 808D,0318036 0104129,,5,14,1,,Cordova,2003,,5,60.550287,145.753739,C4
7/19/2022,26.16,7.5,,red,2393R/6A705,14-C3-032409-1322,,0,16,1,,Cordova,2009,,2,60.550287,145.753739,C5
7/10/2021,18.14,14.75,,red,352TS B72V4,14-JFE-041211-2333,,2,14,0,,Dillingham,2012,,6,59.039791,158.45748,C6
5/31/2021,8.13,14.75,,red,352TS B75T3,14-V3-112701-1114,,5,13,0,,Dillingham,2002,,6,59.039791,158.45748,C6
1/29/2021,2.9,14.75,,chum,USA SALMON 351T0 H7853,V1701926,,1,9,1,,Dillingham,1991,,6,59.039791,158.45748,C6
1/29/2021,1.9,14.75,,chum,USA SALMON 351T0 H7DM4 ,14-03-052091-1508,,3,9,1,,Dillingham,1991,,6,59.039791,158.45748,C6
